"","Zeitstempel","ID","I.see.myself.as.someone.who....is.talkative","....tends.to.find.fault.with.others","....does.a.thorough.job","....is.depressed..blue","....is.original..comes.up.with.new.ideas","....is.reserved","....is.helpful.and.unselfish.with.others","....can.be.somewhat.careless","....is.relaxed..handles.stress.well","....is.curious.about.many.different.things","....is.full.of.energy","....starts.quarrels.with.others","....is.a.reliable.worker","....can.be.tense","....is.ingenious..a.deep.thinker","....generates.a.lot.of.enthusiasm","....has.a.forgiving.nature","....tends.to.be.disorganized","....worries.a.lot","....has.an.active.imagination","....tends.to.be.quiet","....is.generally.trusting","....tends.to.be.lazy","....is.emotionally.stable..not.easily.upset","....is.inventive","....has.an.assertive.personality","....can.be.cold.and.aloof..unapproachable.","....perseveres.until.the.task.is.finished","....can.be.moody","....values.artistic..aesthetic.experiences","....is.sometimes.shy..inhibited","....is.considerate.and.kind.to.almost.everyone","....does.things.efficiently","....remains.calm.in.tense.situations","....prefers.work.that.is.routine","....is.outgoing..sociable","....is.sometimes.rude.to.others","....makes.plans.and.follows.through.with.them","....gets.nervous.easily","....likes.to.reflect..play.with.ideas","....has.few.artistic.interests","....likes.to.cooperate.with.others","....is.easily.distracted","....is.sophisticated.in.art..music..or.literature","Feedback.1","Feedback.2","Feedback.3","Feedback.4","Feedback.5","Feedback.6","Feedback.7","Feedback.8","Feedback.9","Feedback.10","Feedback.11","Feedback.12","Feedback.13"
"13","2018/09/11 10:52:22 AM MEZ","3_1_1",3,4,4,2,4,3,4,4,4,5,5,4,5,4,5,3,5,1,3,4,4,5,3,3,4,4,4,5,3,2,3,4,5,4,5,4,5,5,4,4,5,4,4,1,2,1,5,1,2,2,1,7,1,2,7,2,1
"14","2018/09/11 10:52:41 AM MEZ","3_1_2",5,4,3,1,4,1,5,1,4,3,5,5,3,3,5,5,5,2,1,4,1,5,1,5,3,5,1,3,2,4,1,5,3,3,4,5,2,5,2,5,3,4,3,3,6,4,6,6,6,7,7,3,1,4,1,1,7
"15","2018/09/11 10:57:52 AM MEZ","3_2_1",3,4,3,1,4,2,3,3,1,5,3,3,5,4,4,3,4,5,3,4,2,5,4,1,3,3,4,4,4,5,3,4,2,1,2,3,1,3,3,5,5,4,4,4,5,2,3,3,3,2,6,5,1,2,1,1,7
"16","2018/09/11 12:52:59 PM MEZ","3_4_1",5,1,3,1,4,2,5,4,2,5,5,1,5,1,3,5,5,3,3,4,3,5,2,3,4,4,1,3,1,5,1,5,5,3,1,4,1,4,1,4,4,5,4,5,4,1,5,5,6,3,4,1,1,4,5,1,1
"17","2018/09/11 12:54:14 PM MEZ","3_4_2",4,2,5,1,4,1,5,2,4,4,4,1,5,1,3,4,5,2,2,3,3,3,3,5,4,4,1,4,1,4,2,5,4,4,3,5,2,4,4,4,4,4,3,2,1,1,3,1,4,4,2,2,1,4,7,1,2
"18","2018/09/11 12:54:31 PM MEZ","3_3_1",2,3,3,3,3,3,3,2,1,4,3,3,3,3,3,3,3,3,3,4,3,2,4,2,2,2,3,2,4,4,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,5,3,3,4,5,6,6,1,4,1,7,6
"19","2018/09/11 12:54:56 PM MEZ","3_3_2",4,3,3,2,3,2,4,3,3,4,3,1,4,3,3,3,4,4,3,3,3,4,3,3,3,3,2,3,3,4,3,4,3,3,3,3,2,3,2,3,2,4,3,3,4,4,2,3,3,5,6,5,2,4,5,3,6
"20","2018/09/11 1:01:08 PM MEZ","3_5_2",5,2,3,2,4,1,3,4,3,4,5,1,4,2,4,5,3,3,3,4,2,4,5,3,3,3,1,2,4,4,2,4,2,3,2,5,2,2,3,5,3,4,5,2,5,1,2,2,3,1,4,3,1,4,2,2,5
"21","2018/09/11 1:03:25 PM MEZ","3_5_1",3,4,3,4,5,4,4,5,4,4,2,1,4,3,5,4,5,1,4,4,5,5,3,4,2,3,4,3,4,3,4,4,2,4,4,4,2,4,4,5,4,5,5,4,3,2,5,3,2,2,5,2,1,5,5,2,3
"22","2018/09/11 2:56:57 PM MEZ","3_7_2",3,4,4,2,3,3,4,2,2,3,3,1,4,4,3,3,4,2,4,5,3,4,3,2,2,4,3,2,4,5,4,3,3,2,4,3,3,5,4,3,1,2,4,4,1,2,2,3,2,2,2,3,5,4,6,5,3
"23","2018/09/11 2:58:15 PM MEZ","3_7_1",1,2,4,3,1,5,4,1,3,3,1,2,4,3,4,1,4,3,5,1,5,5,5,3,1,2,2,5,2,3,5,4,5,2,1,1,4,2,2,4,4,2,3,2,1,1,6,7,4,2,5,6,1,4,7,1,3
"24","2018/09/11 2:58:47 PM MEZ","3_6_2",3,2,3,2,4,5,4,2,2,4,3,3,5,3,5,3,2,3,2,5,5,5,3,4,4,4,2,4,2,4,3,5,4,3,2,3,1,3,2,5,4,5,3,4,4,5,3,2,1,2,2,1,1,3,3,1,3
"25","2018/09/11 3:00:03 PM MEZ","3_6_1",3,2,4,2,3,2,4,3,4,5,3,1,5,2,2,3,5,3,5,4,3,5,2,4,4,3,1,4,2,4,3,5,5,4,1,5,1,4,2,5,2,5,3,3,3,2,1,2,1,1,3,2,1,4,3,1,3
"26","2018/09/14 9:46:30 AM MEZ","3_8_1",4,3,4,2,2,1,5,2,3,4,3,1,4,3,3,3,2,3,4,3,3,5,2,3,2,2,1,4,3,4,3,5,4,4,3,4,1,2,2,3,4,4,3,3,1,1,2,4,3,1,2,3,1,3,2,1,3
"27","2018/09/14 9:48:12 AM MEZ","3_8_2",4,2,5,1,4,1,4,3,5,5,4,1,5,2,3,4,2,2,2,5,2,4,2,5,3,4,2,5,3,4,2,5,4,5,4,5,2,4,2,5,5,4,2,3,1,1,2,1,1,1,3,2,1,4,5,2,4
"28","2018/09/14 9:48:57 AM MEZ","3_9_2",3,3,5,1,2,2,5,1,3,4,3,3,5,2,2,3,4,1,4,3,3,4,1,2,3,3,1,5,2,4,2,5,4,2,4,5,1,5,3,4,1,5,5,2,3,5,6,4,4,4,4,2,1,4,4,1,3
"29","2018/09/14 9:50:12 AM MEZ","3_9_1",4,3,4,1,3,2,4,2,3,5,4,3,4,3,5,4,4,3,4,4,3,5,2,4,3,3,1,4,3,4,3,4,4,4,4,4,1,5,4,4,1,5,4,3,1,1,3,3,2,2,4,1,1,4,4,1,4
"30","2018/09/14 10:58:31 AM MEZ","3_10_2",3,2,5,3,4,4,5,4,4,5,3,1,4,3,5,3,4,4,4,5,4,5,4,4,5,4,3,4,2,5,3,5,5,5,2,4,1,4,2,5,2,5,3,4,1,1,5,2,1,1,2,1,1,4,7,1,5
"31","2018/09/14 11:02:43 AM MEZ","3_10_1",4,3,4,4,4,2,3,1,2,4,3,3,5,4,3,2,5,3,5,4,1,5,3,1,4,4,2,5,2,5,2,3,3,2,2,4,4,5,4,5,4,4,5,3,5,3,4,3,2,3,5,3,3,4,6,2,4
"32","2018/09/14 11:52:55 AM MEZ","3_11_2",4,2,3,4,4,2,4,4,5,5,2,2,2,1,4,4,5,5,3,3,2,5,4,4,3,3,3,3,4,5,2,4,4,4,2,4,4,2,1,4,3,4,4,5,4,1,2,2,2,2,3,2,1,4,2,3,4
"33","2018/09/14 11:53:59 AM MEZ","3_11_1",4,4,2,4,4,5,3,4,5,5,3,2,2,1,4,5,5,5,3,4,5,5,5,2,4,4,1,4,4,5,5,4,5,5,3,3,4,3,2,4,1,5,5,3,1,1,1,1,1,1,2,4,1,3,7,4,3
"34","2018/09/14 1:49:04 PM MEZ","3_12_2",4,2,5,1,4,1,5,4,4,5,5,3,5,2,5,5,2,1,1,5,1,5,4,5,3,2,1,5,2,4,1,5,5,4,5,5,2,5,2,5,2,4,2,2,1,1,5,4,1,3,4,2,1,4,7,1,5
"35","2018/09/14 1:49:49 PM MEZ","3_12_1",5,2,5,2,5,2,3,3,2,5,4,2,5,3,5,5,5,1,4,5,2,4,3,2,4,4,1,2,3,5,2,4,4,3,3,4,2,3,2,5,5,3,2,5,2,1,4,1,1,2,1,2,1,4,6,2,4
"36","2018/09/14 2:55:20 PM MEZ","3_13_2",3,4,5,1,4,4,4,4,4,5,5,3,5,4,5,3,3,1,4,3,4,5,3,5,4,3,2,3,2,4,4,5,5,4,3,3,3,5,4,4,3,3,3,1,3,3,3,2,3,3,3,4,3,3,7,4,4
"37","2018/09/14 2:55:20 PM MEZ","3_13_1",3,2,4,1,3,4,5,3,2,4,3,3,5,2,5,3,5,2,4,3,4,4,4,4,3,3,4,5,4,4,4,5,4,3,4,4,1,3,5,4,3,3,3,3,2,2,2,2,3,4,5,2,1,4,4,6,6
"38","2018/09/18 8:50:31 AM MEZ","3_14_1",5,2,5,1,2,4,5,1,2,5,2,3,5,2,4,4,3,1,3,3,1,5,1,3,4,4,1,5,3,4,1,5,5,3,3,5,1,5,2,5,3,5,2,3,3,1,3,4,2,1,6,3,1,5,7,4,5
"39","2018/09/18 8:51:25 AM MEZ","3_15_1",4,2,4,1,4,3,4,2,4,5,5,3,4,2,5,5,5,2,1,5,3,4,2,4,5,4,1,5,1,5,3,4,2,4,3,4,2,2,2,5,2,4,4,5,3,2,5,4,1,2,2,2,2,3,5,2,3
"40","2018/09/18 8:52:10 AM MEZ","3_14_2",3,2,4,2,4,2,4,3,4,4,4,1,5,3,5,4,4,3,4,5,4,5,2,4,4,4,2,5,2,4,3,5,4,5,2,4,4,4,3,5,2,4,3,2,2,1,1,1,1,2,4,4,1,4,7,4,5
"41","2018/09/18 8:52:28 AM MEZ","3_15_2",3,2,4,1,4,1,1,1,4,4,4,3,4,4,3,4,4,3,1,4,3,4,1,5,3,3,2,5,2,3,3,4,4,4,2,3,2,4,2,4,3,4,2,3,4,4,3,3,5,3,5,4,3,4,6,4,6
"42","2018/09/18 12:46:08 PM MEZ","3_16_2",4,3,3,2,2,2,4,3,2,4,3,1,5,2,4,3,4,3,5,5,3,4,4,3,2,3,3,3,4,4,2,4,3,3,2,4,2,2,2,4,4,4,3,3,4,3,6,5,7,4,7,2,1,6,2,3,6
"43","2018/09/18 12:48:06 PM MEZ","3_16_1",5,2,4,1,3,1,4,4,3,5,5,2,5,2,3,4,4,4,3,3,1,4,4,3,3,4,2,5,3,2,1,4,4,4,1,4,2,5,2,4,2,5,4,2,1,3,1,4,1,2,2,5,2,4,7,5,4
"44","2018/09/18 1:49:59 PM MEZ","3_17_1",5,2,4,1,5,1,5,5,5,5,5,2,5,1,5,5,4,2,3,5,3,5,1,4,4,4,1,5,2,5,2,5,5,5,1,5,3,5,1,5,1,5,1,1,1,1,3,3,1,1,1,3,1,4,7,1,4
"45","2018/09/18 1:50:54 PM MEZ","3_17_2",3,5,4,2,4,4,3,2,3,5,3,1,3,2,4,3,2,4,4,4,4,4,2,5,3,3,4,4,3,3,4,4,3,3,3,3,1,2,3,4,3,2,2,2,3,1,3,3,2,3,4,2,1,4,6,5,5
"46","2018/09/21 8:54:01 AM MEZ","3_18_1",3,2,3,1,3,2,4,2,3,4,3,2,4,5,4,4,4,5,4,4,3,4,3,2,3,2,2,4,4,4,2,4,4,2,2,5,2,4,2,4,4,3,4,4,3,4,2,2,2,2,2,1,1,5,2,1,6
"47","2018/09/21 8:54:57 AM MEZ","3_18_2",2,3,4,2,3,4,4,2,2,3,3,1,5,4,3,2,5,2,4,4,5,4,4,2,3,3,4,3,4,4,4,3,4,3,4,3,4,2,4,3,3,4,4,3,2,1,4,2,2,2,4,2,1,3,2,1,3
"48","2018/09/21 9:00:46 AM MEZ","3_19_1",4,4,5,3,3,3,4,2,3,4,3,3,5,4,4,4,3,2,4,4,3,4,3,3,3,3,3,4,4,3,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,1,3,1,4,2,2,2,1,3,6,2,3
"49","2018/09/21 9:03:33 AM MEZ","3_19_2",1,3,4,4,4,4,5,2,3,5,2,2,5,4,5,2,5,1,5,5,5,3,3,1,3,3,4,3,3,5,5,5,4,5,5,1,1,3,5,4,3,4,4,5,2,2,3,3,2,4,2,2,2,4,3,4,3
"50","2018/09/21 9:51:25 AM MEZ","3_20_2",5,2,5,3,5,3,5,5,5,5,3,3,5,3,5,3,3,5,3,5,3,5,1,2,5,3,5,5,3,5,3,3,5,3,3,4,1,5,4,5,5,5,2,5,1,1,5,4,1,2,6,1,2,4,4,1,2
"51","2018/09/21 9:52:22 AM MEZ","3_20_1",5,2,5,2,3,1,5,2,2,5,4,3,5,3,2,5,4,2,5,4,1,5,3,2,4,5,1,5,5,3,3,5,3,3,3,5,1,4,5,4,3,4,5,3,3,1,4,1,2,2,2,3,1,4,6,4,4
"52","2018/09/21 10:45:25 AM MEZ","3_21_1",2,1,5,3,2,4,5,1,2,5,4,1,5,3,4,3,5,2,4,3,5,5,2,2,2,3,1,5,4,5,5,5,5,5,5,3,1,5,4,3,5,3,3,4,4,2,5,3,2,1,5,3,1,4,7,2,5
"53","2018/09/21 10:48:01 AM MEZ","3_21_2",4,4,5,2,2,3,3,1,3,5,2,1,5,4,4,5,5,1,2,4,3,5,2,3,3,4,1,4,5,4,4,5,5,5,1,3,1,4,1,4,1,5,3,4,1,1,2,2,1,1,1,1,1,2,1,1,3
"54","2018/09/21 2:50:38 PM MEZ","3_22_2",4,2,3,2,4,2,3,3,3,4,3,2,4,3,2,4,2,4,3,4,3,4,3,3,4,2,2,4,3,5,2,4,3,2,3,4,2,3,3,5,5,4,5,5,3,2,2,1,2,3,3,2,2,5,2,2,2
"55","2018/09/21 2:50:48 PM MEZ","3_22_1",5,2,1,4,5,1,4,4,1,5,3,1,4,4,5,5,4,2,4,5,1,5,1,2,4,4,2,4,5,5,1,5,5,2,2,5,2,4,4,5,1,5,5,5,2,1,2,1,2,1,1,2,2,1,5,2,2
"56","2018/09/22 11:10:27 AM MEZ","3_23_2",4,4,4,2,4,2,5,3,3,5,4,4,4,4,4,5,5,3,4,5,3,4,3,3,4,4,2,4,4,5,2,5,4,3,2,4,1,4,4,5,3,4,4,5,1,2,2,2,1,1,3,3,2,4,7,3,3
"57","2018/09/22 11:11:15 AM MEZ","3_23_1",4,3,4,3,2,3,3,4,2,4,3,3,4,4,4,2,4,3,4,4,3,4,3,3,2,4,2,2,2,4,3,3,3,4,4,4,3,4,4,5,4,3,5,3,3,3,3,2,3,1,2,3,2,2,5,4,3
"58","2018/09/25 8:45:48 AM MEZ","3_24_1",4,2,3,2,5,3,5,3,3,5,4,1,4,3,4,3,5,3,4,5,4,4,2,3,4,2,4,3,4,5,5,5,3,4,2,3,2,3,1,5,4,5,3,5,1,2,1,1,1,1,2,1,1,4,5,2,3
"59","2018/09/25 8:47:33 AM MEZ","3_24_2",4,4,5,1,5,2,2,3,5,5,4,3,4,2,4,3,3,5,1,5,3,4,4,5,5,4,2,5,1,4,3,3,2,4,1,5,2,3,2,4,3,2,4,2,1,1,3,4,2,1,2,2,1,4,3,2,2
"60","2018/09/25 8:49:24 AM MEZ","3_25_2",5,2,4,1,5,1,4,3,4,5,4,1,5,3,4,4,4,2,2,4,2,5,3,5,3,3,2,4,3,5,2,4,5,4,3,4,4,4,2,4,3,4,4,4,2,1,3,3,4,2,3,1,1,4,6,2,3
"61","2018/09/25 8:50:01 AM MEZ","3_25_1",2,4,4,2,2,2,3,4,4,4,4,3,3,4,5,5,4,2,3,3,4,4,3,4,3,3,3,3,2,2,4,4,4,2,4,4,4,4,4,3,3,3,4,2,2,1,3,4,3,3,3,2,2,4,2,4,3
"62","2018/09/25 12:50:53 PM MEZ","3_26_2",4,3,5,1,3,2,5,2,4,5,4,1,4,3,5,4,5,5,4,2,3,5,4,4,4,3,2,4,2,4,4,5,4,4,4,4,1,2,2,5,2,5,4,3,3,1,2,3,1,4,6,2,2,4,4,3,5
"63","2018/09/25 12:52:46 PM MEZ","3_26_1",2,4,5,4,3,4,3,4,2,5,4,1,5,3,4,2,5,2,3,3,5,5,2,3,2,3,4,5,5,3,5,4,4,3,4,2,1,4,5,4,2,3,3,4,3,2,4,3,2,3,4,6,1,4,1,1,4
"64","2018/09/27 12:50:06 PM MEZ","3_27_2",5,2,4,1,4,1,4,3,4,5,4,3,5,4,3,4,5,2,3,4,2,4,3,4,4,3,1,4,3,3,2,4,4,4,3,5,1,4,2,3,3,4,1,2,1,3,2,3,2,2,4,4,1,4,7,2,4
"65","2018/09/27 12:51:47 PM MEZ","3_27_1",2,2,3,1,4,1,3,2,2,3,3,2,4,2,4,3,2,1,2,3,2,4,3,4,3,3,2,5,2,4,4,5,4,3,3,5,1,5,5,4,3,3,4,2,2,3,2,3,2,1,4,6,5,2,7,4,2
"66","2018/09/28 12:48:56 PM MEZ","3_28_2",4,2,4,3,4,1,4,2,2,5,2,3,4,3,5,4,2,3,4,4,2,3,3,2,3,4,1,3,3,4,2,5,4,2,2,4,3,4,4,5,1,2,4,5,3,3,5,5,3,4,5,4,1,4,1,3,5
"67","2018/09/28 12:49:41 PM MEZ","3_28_1",2,4,4,3,4,4,5,2,2,5,3,3,5,2,4,3,4,2,5,5,4,4,2,2,4,3,3,4,2,3,4,5,3,3,4,2,1,3,4,4,3,3,5,2,2,3,2,3,4,5,7,2,1,3,1,4,6
"68","2018/10/03 12:51:51 PM MEZ","3_29_2",3,2,4,2,4,3,4,4,1,5,4,3,4,4,4,3,5,4,5,3,4,4,2,3,4,4,1,4,4,4,3,4,4,3,4,4,3,4,4,4,3,4,2,3,5,3,4,4,3,3,5,4,2,3,6,4,4
"69","2018/10/03 12:52:45 PM MEZ","3_29_1",4,3,4,2,2,2,3,4,5,5,4,3,5,4,4,4,2,1,3,3,4,1,3,3,2,5,4,5,4,5,4,4,5,4,2,4,3,5,3,3,2,4,4,1,2,2,2,3,2,2,2,1,2,1,2,2,1
"70","2018/10/09 12:49:47 PM MEZ","3_30_1",4,4,3,2,4,3,3,2,3,4,4,3,5,4,4,3,2,1,3,4,4,4,1,4,4,4,3,4,4,3,4,5,5,4,4,3,2,5,1,4,3,4,3,2,3,1,6,4,5,3,6,5,2,5,6,4,4
"71","2018/10/09 12:52:30 PM MEZ","3_30_2",3,4,3,4,3,4,4,2,1,4,2,1,2,4,3,2,3,5,5,4,3,4,4,2,3,2,3,3,4,5,5,4,4,2,3,2,2,2,4,5,2,3,5,3,4,6,2,2,2,4,5,6,1,3,6,3,5
"72","2018/10/10 10:51:40 AM MEZ","3_31_2",2,2,4,2,3,3,5,2,3,4,4,2,5,2,4,3,3,2,4,3,5,5,5,3,2,2,4,4,4,4,4,5,4,3,4,3,2,3,4,2,2,2,4,5,5,4,2,4,4,2,3,4,2,4,7,1,3
"73","2018/10/10 10:52:29 AM MEZ","3_31_1",5,4,4,2,4,3,4,2,4,5,5,4,5,4,5,5,2,2,4,4,2,3,1,2,4,3,2,5,2,2,2,4,4,4,4,5,2,5,4,4,3,2,3,2,5,1,2,2,4,3,4,5,2,4,7,3,3
"74","2018/10/10 3:39:46 PM MEZ","3_32_1",2,3,4,2,3,4,5,1,1,5,3,2,5,4,5,3,2,1,5,4,4,5,2,2,5,3,4,5,4,2,4,4,4,2,5,3,2,5,5,5,4,2,4,1,2,2,1,1,1,1,4,1,1,4,1,1,1
"75","2018/10/10 3:43:59 PM MEZ","3_32_2",3,5,3,1,4,2,4,2,1,4,5,3,5,2,4,3,2,2,4,4,1,4,3,2,3,3,2,3,4,4,2,4,3,4,3,5,3,4,4,3,4,3,4,3,3,6,4,1,1,6,2,7,7,7,7,7,2
"76","2018/10/11 1:42:19 PM MEZ","3_33_1",5,3,4,1,4,2,4,2,3,4,3,3,4,3,2,4,4,4,2,5,2,4,4,2,4,3,2,4,4,4,2,4,5,3,1,5,2,3,2,5,5,4,4,3,2,1,2,1,2,1,2,1,2,3,2,1,3
"77","2018/10/11 1:42:59 PM MEZ","3_33_2",1,2,4,3,4,5,4,2,2,5,4,2,5,4,3,3,4,3,4,4,5,5,2,2,3,4,3,5,4,4,4,4,5,4,1,2,2,5,4,4,4,4,2,4,4,5,3,3,3,2,3,3,2,4,7,4,6
"78","2018/10/23 12:41:03 PM MEZ","3_34_1",4,3,3,1,5,2,5,3,4,5,4,2,4,2,5,5,5,4,1,5,2,4,4,5,4,5,1,2,2,5,3,5,5,5,2,4,2,3,3,5,4,4,5,2,3,1,4,1,2,1,1,4,1,4,7,4,5
"79","2018/10/23 12:41:48 PM MEZ","3_34_1",5,2,2,2,4,1,3,3,4,5,4,2,3,2,4,3,5,4,3,4,1,4,4,4,4,3,2,3,2,2,1,4,2,4,2,5,4,3,2,5,2,5,3,4,1,1,2,2,3,3,5,5,1,3,7,2,4
"80","2018/10/23 2:52:52 PM MEZ","3_36_1",4,2,4,1,4,4,4,5,3,5,4,1,4,4,4,5,2,2,3,3,3,4,3,3,3,3,3,4,2,5,4,4,4,4,5,3,2,4,5,4,1,3,3,4,1,1,2,2,1,1,1,1,1,3,7,1,4
"81","2018/10/23 2:56:31 PM MEZ","3_36_2",2,3,4,2,3,3,4,3,2,5,3,2,4,4,4,2,3,3,4,5,4,3,4,2,4,4,2,4,4,4,4,4,3,3,3,2,2,4,2,4,1,2,2,4,2,6,2,2,2,2,3,3,2,4,6,3,5
"82","2018/10/23 3:01:41 PM MEZ","3_35_1",4,1,3,1,4,3,4,3,4,4,4,2,5,2,4,4,2,3,3,4,3,5,3,5,3,4,2,4,2,5,2,5,4,3,1,4,1,2,2,4,4,5,5,3,1,1,3,3,4,4,4,4,1,3,6,5,4
"83","2018/10/23 3:02:42 PM MEZ","3_35_2",4,2,3,1,4,4,3,3,2,5,5,2,5,1,1,4,3,3,4,5,1,5,1,2,5,5,1,3,1,5,1,4,5,3,4,5,4,3,4,4,5,4,5,5,1,1,1,1,3,3,2,5,1,1,1,1,1
"84","2018/10/23 3:51:23 PM MEZ","3_38_1",5,4,5,1,3,1,5,5,5,5,3,1,5,5,5,5,1,1,4,1,2,5,2,5,3,5,4,5,4,4,1,5,5,5,2,5,1,1,1,5,5,4,1,1,5,1,1,1,3,7,7,7,5,5,7,3,7
"85","2018/10/23 3:51:54 PM MEZ","3_38_2",1,1,5,3,5,4,5,5,2,5,3,2,4,4,5,4,5,4,4,5,4,5,4,3,5,3,4,5,2,3,3,5,5,2,1,2,3,4,4,5,3,4,4,4,5,3,1,2,2,5,3,2,1,2,6,2,4
"86","2018/10/23 3:54:01 PM MEZ","3_37_1",4,2,2,3,3,4,5,4,2,5,4,1,4,4,2,3,5,4,5,5,3,4,4,4,3,1,2,3,4,4,4,5,4,2,5,4,2,4,2,4,4,2,4,2,1,1,3,4,2,2,3,5,1,2,7,2,5
"87","2018/10/23 3:55:46 PM MEZ","3_37_2",4,4,4,1,2,2,4,2,2,4,4,1,5,2,2,4,4,1,4,5,2,4,4,2,2,3,2,4,4,4,4,4,4,2,4,4,1,4,2,4,4,4,4,2,3,1,2,1,1,1,2,2,1,5,6,3,4
"88","2018/10/23 4:03:48 PM MEZ","3_39_1",4,3,3,2,3,4,4,4,5,4,4,2,4,2,5,4,2,4,5,4,3,5,4,3,3,3,2,4,4,4,5,5,3,3,2,5,4,3,3,4,4,5,5,2,5,1,4,3,2,3,4,4,2,5,2,3,5
"89","2018/10/23 4:04:28 PM MEZ","3_39_2",5,3,4,2,2,3,3,4,4,4,4,2,3,2,2,4,4,4,4,4,3,3,4,3,3,2,2,4,4,2,4,4,2,3,4,4,4,4,4,4,4,4,4,1,4,4,4,2,3,2,2,3,2,2,5,2,3
"90","2018/10/24 9:00:39 AM MEZ","3_40_1",5,4,4,2,4,1,5,1,5,5,4,1,5,1,5,5,5,4,1,5,1,5,4,4,5,2,1,4,3,5,2,5,4,5,3,5,1,2,2,5,5,5,4,5,2,1,3,1,1,1,4,2,1,7,3,2,3
"91","2018/10/24 9:01:37 AM MEZ","3_40_2",5,4,4,3,3,1,4,3,2,4,5,3,4,3,3,4,4,3,3,4,1,4,2,1,3,3,1,4,3,4,1,4,4,2,4,5,3,3,2,4,2,5,1,2,2,1,2,1,2,2,3,3,1,4,6,2,4
"92","2018/10/24 9:04:21 AM MEZ","3_41_1",4,3,3,2,4,3,5,1,4,5,4,2,4,2,1,4,4,2,4,3,2,5,2,3,2,2,1,2,3,2,3,3,4,4,3,4,3,3,3,4,2,3,4,2,2,1,4,5,5,5,3,7,3,4,6,5,3
"93","2018/10/24 9:05:30 AM MEZ","3_41_2",3,4,2,3,5,4,5,2,2,5,2,1,4,3,5,3,5,5,5,5,5,4,5,5,5,3,4,2,4,5,5,4,1,5,4,3,1,2,3,5,2,3,5,3,4,1,5,3,3,1,2,3,3,2,2,5,3
"94","2018/10/24 11:00:20 AM MEZ","3_42_2",2,5,5,1,3,2,2,4,5,5,4,3,5,4,2,5,3,1,2,2,4,5,2,5,4,2,2,5,3,4,4,5,4,4,1,2,2,5,2,4,3,1,2,2,5,5,3,4,2,7,7,5,4,5,6,5,6
"95","2018/10/24 11:03:02 AM MEZ","3_42_1",4,2,2,3,3,3,5,2,3,5,2,2,3,2,5,4,5,4,1,4,3,5,4,3,4,3,2,3,4,4,3,4,5,4,2,3,3,3,2,5,2,5,4,5,1,1,5,5,6,3,5,5,2,5,7,6,2
"96","2018/10/26 10:41:43 AM MEZ","3_43_1",3,2,5,2,4,3,5,1,3,5,2,4,5,1,4,3,5,1,5,5,3,5,1,5,4,3,1,4,1,5,3,5,5,5,3,4,1,5,4,5,5,5,4,5,3,4,1,2,1,1,1,2,1,5,6,6,6
"97","2018/10/26 10:42:43 AM MEZ","3_43_2",4,3,5,1,3,1,1,1,4,5,4,2,5,2,3,4,5,1,2,3,2,5,1,5,4,3,1,5,2,5,2,5,5,4,2,4,1,5,2,4,2,5,2,4,4,3,3,2,2,1,2,3,3,4,5,3,5
"98","2018/10/26 12:51:08 PM MEZ","3_44_2",5,3,5,2,4,1,5,3,4,4,4,2,5,2,4,5,4,4,5,5,2,4,3,4,4,3,2,5,3,3,2,5,5,4,4,5,2,5,3,4,2,5,3,3,3,3,2,1,1,2,3,4,1,4,7,2,5
"99","2018/10/26 12:51:48 PM MEZ","3_44_1",5,2,4,1,4,1,4,1,3,3,4,1,5,2,2,5,3,2,3,4,3,3,2,4,4,3,1,4,2,3,4,3,4,2,3,4,2,4,2,4,2,3,2,4,1,2,2,2,3,2,3,1,1,4,7,1,4
