"Zeitstempel","PLEASE ENTER YOUR ID NUMBER HERE!","I see myself as someone who... is talkative","... tends to find fault with others","... does a thorough job","... is depressed, blue","... is original, comes up with new ideas","... is reserved","... is helpful and unselfish with others","... can be somewhat careless","... is relaxed, handles stress well","... is curious about many different things","... is full of energy","... starts quarrels with others","... is a reliable worker","... can be tense","... is ingenious, a deep thinker","... generates a lot of enthusiasm","... has a forgiving nature","... tends to be disorganized","... worries a lot","... has an active imagination","... tends to be quiet","... is generally trusting","... tends to be lazy","... is emotionally stable, not easily upset","... is inventive","... has an assertive personality","... can be cold and aloof (unapproachable)","... perseveres until the task is finished","... can be moody","... values artistic, aesthetic experiences","... is sometimes shy, inhibited","... is considerate and kind to almost everyone","... does things efficiently","... remains calm in tense situations","... prefers work that is routine","... is outgoing, sociable","... is sometimes rude to others","... makes plans and follows through with them","... gets nervous easily","... likes to reflect, play with ideas","... has few artistic interests","... likes to cooperate with others","... is easily distracted","... is sophisticated in art, music, or literature","Feedback 1","Feedback 2","Feedback 3","Feedback 4","Feedback 5","Feedback 6","Feedback 7","Feedback 8","Feedback 9","Feedback 10","Feedback 11","Feedback 12","Feedback 13"
"2018/09/21 8:54:57 AM MEZ","3_18_2","2","3","4","2","3","4","4","2","2","3","3","1","5","4","3","2","5","2","4","4","5","4","4","2","3","3","4","3","4","4","4","3","4","3","4","3","4","2","4","3","3","4","4","3","2","1","4","2","2","2","4","2","1","3","2","1","3"
"2018/09/21 9:00:46 AM MEZ","3_19_1","4","4","5","3","3","3","4","2","3","4","3","3","5","4","4","4","3","2","4","4","3","4","3","3","3","3","3","4","4","3","4","4","4","4","4","3","3","4","4","3","3","3","3","3","3","1","3","1","4","2","2","2","1","3","6","2","3"
"2018/09/21 9:03:33 AM MEZ","3_19_2","1","3","4","4","4","4","5","2","3","5","2","2","5","4","5","2","5","1","5","5","5","3","3","1","3","3","4","3","3","5","5","5","4","5","5","1","1","3","5","4","3","4","4","5","2","2","3","3","2","4","2","2","2","4","3","4","3"
"2018/09/21 9:51:25 AM MEZ","3_20_2","5","2","5","3","5","3","5","5","5","5","3","3","5","3","5","3","3","5","3","5","3","5","1","2","5","3","5","5","3","5","3","3","5","3","3","4","1","5","4","5","5","5","2","5","1","1","5","4","1","2","6","1","2","4","4","1","2"
"2018/09/21 9:52:22 AM MEZ","3_20_1","5","2","5","2","3","1","5","2","2","5","4","3","5","3","2","5","4","2","5","4","1","5","3","2","4","5","1","5","5","3","3","5","3","3","3","5","1","4","5","4","3","4","5","3","3","1","4","1","2","2","2","3","1","4","6","4","4"
"2018/09/21 10:45:25 AM MEZ","3_21_1","2","1","5","3","2","4","5","1","2","5","4","1","5","3","4","3","5","2","4","3","5","5","2","2","2","3","1","5","4","5","5","5","5","5","5","3","1","5","4","3","5","3","3","4","4","2","5","3","2","1","5","3","1","4","7","2","5"
"2018/09/21 10:48:01 AM MEZ","3_21_2","4","4","5","2","2","3","3","1","3","5","2","1","5","4","4","5","5","1","2","4","3","5","2","3","3","4","1","4","5","4","4","5","5","5","1","3","1","4","1","4","1","5","3","4","1","1","2","2","1","1","1","1","1","2","1","1","3"
"2018/09/21 2:50:38 PM MEZ","3_22_2","4","2","3","2","4","2","3","3","3","4","3","2","4","3","2","4","2","4","3","4","3","4","3","3","4","2","2","4","3","5","2","4","3","2","3","4","2","3","3","5","5","4","5","5","3","2","2","1","2","3","3","2","2","5","2","2","2"
"2018/09/21 2:50:48 PM MEZ","3_22_1","5","2","1","4","5","1","4","4","1","5","3","1","4","4","5","5","4","2","4","5","1","5","1","2","4","4","2","4","5","5","1","5","5","2","2","5","2","4","4","5","1","5","5","5","2","1","2","1","2","1","1","2","2","1","5","2","2"
"2018/09/22 11:10:27 AM MEZ","3_23_2","4","4","4","2","4","2","5","3","3","5","4","4","4","4","4","5","5","3","4","5","3","4","3","3","4","4","2","4","4","5","2","5","4","3","2","4","1","4","4","5","3","4","4","5","1","2","2","2","1","1","3","3","2","4","7","3","3"
"2018/09/22 11:11:15 AM MEZ","3_23_1","4","3","4","3","2","3","3","4","2","4","3","3","4","4","4","2","4","3","4","4","3","4","3","3","2","4","2","2","2","4","3","3","3","4","4","4","3","4","4","5","4","3","5","3","3","3","3","2","3","1","2","3","2","2","5","4","3"
"2018/09/25 8:45:48 AM MEZ","3_24_1","4","2","3","2","5","3","5","3","3","5","4","1","4","3","4","3","5","3","4","5","4","4","2","3","4","2","4","3","4","5","5","5","3","4","2","3","2","3","1","5","4","5","3","5","1","2","1","1","1","1","2","1","1","4","5","2","3"
"2018/09/25 8:47:33 AM MEZ","3_24_2","4","4","5","1","5","2","2","3","5","5","4","3","4","2","4","3","3","5","1","5","3","4","4","5","5","4","2","5","1","4","3","3","2","4","1","5","2","3","2","4","3","2","4","2","1","1","3","4","2","1","2","2","1","4","3","2","2"
"2018/09/25 8:49:24 AM MEZ","3_25_2","5","2","4","1","5","1","4","3","4","5","4","1","5","3","4","4","4","2","2","4","2","5","3","5","3","3","2","4","3","5","2","4","5","4","3","4","4","4","2","4","3","4","4","4","2","1","3","3","4","2","3","1","1","4","6","2","3"
"2018/09/25 8:50:01 AM MEZ","3_25_1","2","4","4","2","2","2","3","4","4","4","4","3","3","4","5","5","4","2","3","3","4","4","3","4","3","3","3","3","2","2","4","4","4","2","4","4","4","4","4","3","3","3","4","2","2","1","3","4","3","3","3","2","2","4","2","4","3"
"2018/09/25 12:50:53 PM MEZ","3_26_2","4","3","5","1","3","2","5","2","4","5","4","1","4","3","5","4","5","5","4","2","3","5","4","4","4","3","2","4","2","4","4","5","4","4","4","4","1","2","2","5","2","5","4","3","3","1","2","3","1","4","6","2","2","4","4","3","5"
"2018/09/25 12:52:46 PM MEZ","3_26_1","2","4","5","4","3","4","3","4","2","5","4","1","5","3","4","2","5","2","3","3","5","5","2","3","2","3","4","5","5","3","5","4","4","3","4","2","1","4","5","4","2","3","3","4","3","2","4","3","2","3","4","6","1","4","1","1","4"
"2018/09/27 12:50:06 PM MEZ","3_2_7_2","5","2","4","1","4","1","4","3","4","5","4","3","5","4","3","4","5","2","3","4","2","4","3","4","4","3","1","4","3","3","2","4","4","4","3","5","1","4","2","3","3","4","1","2","1","3","2","3","2","2","4","4","1","4","7","2","4"
"2018/09/27 12:51:47 PM MEZ","3_27_1","2","2","3","1","4","1","3","2","2","3","3","2","4","2","4","3","2","1","2","3","2","4","3","4","3","3","2","5","2","4","4","5","4","3","3","5","1","5","5","4","3","3","4","2","2","3","2","3","2","1","4","6","5","2","7","4","2"
"2018/09/28 12:48:56 PM MEZ","3_28_2","4","2","4","3","4","1","4","2","2","5","2","3","4","3","5","4","2","3","4","4","2","3","3","2","3","4","1","3","3","4","2","5","4","2","2","4","3","4","4","5","1","2","4","5","3","3","5","5","3","4","5","4","1","4","1","3","5"
"2018/09/28 12:49:41 PM MEZ","3_28_1","2","4","4","3","4","4","5","2","2","5","3","3","5","2","4","3","4","2","5","5","4","4","2","2","4","3","3","4","2","3","4","5","3","3","4","2","1","3","4","4","3","3","5","2","2","3","2","3","4","5","7","2","1","3","1","4","6"
"2018/10/03 12:51:51 PM MEZ","3_29_2","3","2","4","2","4","3","4","4","1","5","4","3","4","4","4","3","5","4","5","3","4","4","2","3","4","4","1","4","4","4","3","4","4","3","4","4","3","4","4","4","3","4","2","3","5","3","4","4","3","3","5","4","2","3","6","4","4"
"2018/10/03 12:52:45 PM MEZ","3_29_1","4","3","4","2","2","2","3","4","5","5","4","3","5","4","4","4","2","1","3","3","4","1","3","3","2","5","4","5","4","5","4","4","5","4","2","4","3","5","3","3","2","4","4","1","2","2","2","3","2","2","2","1","2","1","2","2","1"
"2018/10/09 12:49:47 PM MEZ","3_30_1","4","4","3","2","4","3","3","2","3","4","4","3","5","4","4","3","2","1","3","4","4","4","1","4","4","4","3","4","4","3","4","5","5","4","4","3","2","5","1","4","3","4","3","2","3","1","6","4","5","3","6","5","2","5","6","4","4"
"2018/10/09 12:52:30 PM MEZ","3_30_2","3","4","3","4","3","4","4","2","1","4","2","1","2","4","3","2","3","5","5","4","3","4","4","2","3","2","3","3","4","5","5","4","4","2","3","2","2","2","4","5","2","3","5","3","4","6","2","2","2","4","5","6","1","3","6","3","5"
"2018/10/10 10:51:40 AM MEZ","3_31_2","2","2","4","2","3","3","5","2","3","4","4","2","5","2","4","3","3","2","4","3","5","5","5","3","2","2","4","4","4","4","4","5","4","3","4","3","2","3","4","2","2","2","4","5","5","4","2","4","4","2","3","4","2","4","7","1","3"
"2018/10/10 10:52:29 AM MEZ","3_31_1","5","4","4","2","4","3","4","2","4","5","5","4","5","4","5","5","2","2","4","4","2","3","1","2","4","3","2","5","2","2","2","4","4","4","4","5","2","5","4","4","3","2","3","2","5","1","2","2","4","3","4","5","2","4","7","3","3"
"2018/10/10 3:39:46 PM MEZ","3_32_1","2","3","4","2","3","4","5","1","1","5","3","2","5","4","5","3","2","1","5","4","4","5","2","2","5","3","4","5","4","2","4","4","4","2","5","3","2","5","5","5","4","2","4","1","2","2","1","1","1","1","4","1","1","4","1","1","1"
"2018/10/10 3:43:59 PM MEZ","3_32_2","3","5","3","1","4","2","4","2","1","4","5","3","5","2","4","3","2","2","4","4","1","4","3","2","3","3","2","3","4","4","2","4","3","4","3","5","3","4","4","3","4","3","4","3","3","6","4","1","1","6","2","7","7","7","7","7","2"
"2018/10/11 1:42:19 PM MEZ","31234","5","3","4","1","4","2","4","2","3","4","3","3","4","3","2","4","4","4","2","5","2","4","4","2","4","3","2","4","4","4","2","4","5","3","1","5","2","3","2","5","5","4","4","3","2","1","2","1","2","1","2","1","2","3","2","1","3"
"2018/10/11 1:42:59 PM MEZ","26041","1","2","4","3","4","5","4","2","2","5","4","2","5","4","3","3","4","3","4","4","5","5","2","2","3","4","3","5","4","4","4","4","5","4","1","2","2","5","4","4","4","4","2","4","4","5","3","3","3","2","3","3","2","4","7","4","6"
"2018/10/23 12:41:03 PM MEZ","3_34_1","4","3","3","1","5","2","5","3","4","5","4","2","4","2","5","5","5","4","1","5","2","4","4","5","4","5","1","2","2","5","3","5","5","5","2","4","2","3","3","5","4","4","5","2","3","1","4","1","2","1","1","4","1","4","7","4","5"
"2018/10/23 12:41:48 PM MEZ","3_34_1","5","2","2","2","4","1","3","3","4","5","4","2","3","2","4","3","5","4","3","4","1","4","4","4","4","3","2","3","2","2","1","4","2","4","2","5","4","3","2","5","2","5","3","4","1","1","2","2","3","3","5","5","1","3","7","2","4"
"2018/10/23 2:52:52 PM MEZ","3_36_1","4","2","4","1","4","4","4","5","3","5","4","1","4","4","4","5","2","2","3","3","3","4","3","3","3","3","3","4","2","5","4","4","4","4","5","3","2","4","5","4","1","3","3","4","1","1","2","2","1","1","1","1","1","3","7","1","4"
"2018/10/23 2:56:31 PM MEZ","3_36_2","2","3","4","2","3","3","4","3","2","5","3","2","4","4","4","2","3","3","4","5","4","3","4","2","4","4","2","4","4","4","4","4","3","3","3","2","2","4","2","4","1","2","2","4","2","6","2","2","2","2","3","3","2","4","6","3","5"
"2018/10/23 3:01:41 PM MEZ","3351","4","1","3","1","4","3","4","3","4","4","4","2","5","2","4","4","2","3","3","4","3","5","3","5","3","4","2","4","2","5","2","5","4","3","1","4","1","2","2","4","4","5","5","3","1","1","3","3","4","4","4","4","1","3","6","5","4"
"2018/10/23 3:02:42 PM MEZ","3_35_2","4","2","3","1","4","4","3","3","2","5","5","2","5","1","1","4","3","3","4","5","1","5","1","2","5","5","1","3","1","5","1","4","5","3","4","5","4","3","4","4","5","4","5","5","1","1","1","1","3","3","2","5","1","1","1","1","1"
"2018/10/23 3:51:23 PM MEZ","3_38_1","5","4","5","1","3","1","5","5","5","5","3","1","5","5","5","5","1","1","4","1","2","5","2","5","3","5","4","5","4","4","1","5","5","5","2","5","1","1","1","5","5","4","1","1","5","1","1","1","3","7","7","7","5","5","7","3","7"
"2018/10/23 3:51:54 PM MEZ","3_38_2","1","1","5","3","5","4","5","5","2","5","3","2","4","4","5","4","5","4","4","5","4","5","4","3","5","3","4","5","2","3","3","5","5","2","1","2","3","4","4","5","3","4","4","4","5","3","1","2","2","5","3","2","1","2","6","2","4"
"2018/10/23 3:54:01 PM MEZ","3_37_1","4","2","2","3","3","4","5","4","2","5","4","1","4","4","2","3","5","4","5","5","3","4","4","4","3","1","2","3","4","4","4","5","4","2","5","4","2","4","2","4","4","2","4","2","1","1","3","4","2","2","3","5","1","2","7","2","5"
"2018/10/23 3:55:46 PM MEZ","3_37_2","4","4","4","1","2","2","4","2","2","4","4","1","5","2","2","4","4","1","4","5","2","4","4","2","2","3","2","4","4","4","4","4","4","2","4","4","1","4","2","4","4","4","4","2","3","1","2","1","1","1","2","2","1","5","6","3","4"
"2018/10/23 4:03:48 PM MEZ","3_39_1","4","3","3","2","3","4","4","4","5","4","4","2","4","2","5","4","2","4","5","4","3","5","4","3","3","3","2","4","4","4","5","5","3","3","2","5","4","3","3","4","4","5","5","2","5","1","4","3","2","3","4","4","2","5","2","3","5"
"2018/10/23 4:04:28 PM MEZ","3_39_2","5","3","4","2","2","3","3","4","4","4","4","2","3","2","2","4","4","4","4","4","3","3","4","3","3","2","2","4","4","2","4","4","2","3","4","4","4","4","4","4","4","4","4","1","4","4","4","2","3","2","2","3","2","2","5","2","3"
"2018/10/24 9:00:39 AM MEZ","3_40_1","5","4","4","2","4","1","5","1","5","5","4","1","5","1","5","5","5","4","1","5","1","5","4","4","5","2","1","4","3","5","2","5","4","5","3","5","1","2","2","5","5","5","4","5","2","1","3","1","1","1","4","2","1","7","3","2","3"
"2018/10/24 9:01:37 AM MEZ","3_40_2","5","4","4","3","3","1","4","3","2","4","5","3","4","3","3","4","4","3","3","4","1","4","2","1","3","3","1","4","3","4","1","4","4","2","4","5","3","3","2","4","2","5","1","2","2","1","2","1","2","2","3","3","1","4","6","2","4"
"2018/10/24 9:04:21 AM MEZ","3_41_1","4","3","3","2","4","3","5","1","4","5","4","2","4","2","1","4","4","2","4","3","2","5","2","3","2","2","1","2","3","2","3","3","4","4","3","4","3","3","3","4","2","3","4","2","2","1","4","5","5","5","3","7","3","4","6","5","3"
"2018/10/24 9:05:30 AM MEZ","3_41_2","3","4","2","3","5","4","5","2","2","5","2","1","4","3","5","3","5","5","5","5","5","4","5","5","5","3","4","2","4","5","5","4","1","5","4","3","1","2","3","5","2","3","5","3","4","1","5","3","3","1","2","3","3","2","2","5","3"
"2018/10/24 11:00:20 AM MEZ","3_42_2","2","5","5","1","3","2","2","4","5","5","4","3","5","4","2","5","3","1","2","2","4","5","2","5","4","2","2","5","3","4","4","5","4","4","1","2","2","5","2","4","3","1","2","2","5","5","3","4","2","7","7","5","4","5","6","5","6"
"2018/10/24 11:03:02 AM MEZ","3_42_1","4","2","2","3","3","3","5","2","3","5","2","2","3","2","5","4","5","4","1","4","3","5","4","3","4","3","2","3","4","4","3","4","5","4","2","3","3","3","2","5","2","5","4","5","1","1","5","5","6","3","5","5","2","5","7","6","2"
"2018/10/26 10:41:43 AM MEZ","3_43_1","3","2","5","2","4","3","5","1","3","5","2","4","5","1","4","3","5","1","5","5","3","5","1","5","4","3","1","4","1","5","3","5","5","5","3","4","1","5","4","5","5","5","4","5","3","4","1","2","1","1","1","2","1","5","6","6","6"
"2018/10/26 10:42:43 AM MEZ","3_34_2","4","3","5","1","3","1","1","1","4","5","4","2","5","2","3","4","5","1","2","3","2","5","1","5","4","3","1","5","2","5","2","5","5","4","2","4","1","5","2","4","2","5","2","4","4","3","3","2","2","1","2","3","3","4","5","3","5"
"2018/10/26 12:51:08 PM MEZ","3_44_2","5","3","5","2","4","1","5","3","4","4","4","2","5","2","4","5","4","4","5","5","2","4","3","4","4","3","2","5","3","3","2","5","5","4","4","5","2","5","3","4","2","5","3","3","3","3","2","1","1","2","3","4","1","4","7","2","5"
"2018/10/26 12:51:48 PM MEZ","5","5","2","4","1","4","1","4","1","3","3","4","1","5","2","2","5","3","2","3","4","3","3","2","4","4","3","1","4","2","3","4","3","4","2","3","4","2","4","2","4","2","3","2","4","1","2","2","2","3","2","3","1","1","4","7","1","4"