"","Timestamp","ID","... is talkative","... tends to find fault with others","... does a thorough job","... is depressed, blue","... is original, comes up with new ideas","... is reserved","... is helpful and unselfish with others","... can be somewhat careless","... is relaxed, handles stress well","... is curious about many different things","... is full of energy","... starts quarrels with others","... is a reliable worker","... can be tense","... is ingenious, a deep thinker","... generates a lot of enthusiasm","... has a forgiving nature","... tends to be disorganized","... worries a lot","... has an active imagination","... tends to be quiet","... is generally trusting","... tends to be lazy","... is emotionally stable, not easily upset","... is inventive","... has an assertive personality","... can be cold and aloof (unapproachable)","... perseveres until the task is finished","... can be moody","... values artistic, aesthetic experiences","... is sometimes shy, inhibited","... is considerate and kind to almost everyone","... does things efficiently","... remains calm in tense situations","... prefers work that is routine","... is outgoing, sociable","... is sometimes rude to others","... makes plans and follows through with them","... gets nervous easily","... likes to reflect, play with ideas","... has few artistic interests","... likes to cooperate with others","... is easily distracted","... is sophisticated in art, music, or literature","Feedback 1","Feedback 2","Feedback 3","Feedback 4","Feedback 5","Feedback 6","Feedback 7","Feedback 8","Feedback 9","Feedback 10","Feedback 11","Feedback 12","Feedback 13"
"1",2018-09-11 10:55:43,"2_1_2",5,3,3,2,4,4,4,4,3,4,3,2,3,3,3,4,4,3,2,3,2,1,4,3,4,3,2,2,3,4,3,3,4,3,3,5,2,3,3,4,4,4,3,3,2,4,3,2,2,4,3,2,1,2,4,2,3
"2",2018-09-11 10:56:57,"2_1_1",5,2,3,1,4,2,4,4,2,3,3,1,4,4,2,5,5,5,5,5,3,5,5,2,4,4,2,2,4,3,4,4,2,4,2,4,2,2,5,4,2,5,5,2,4,4,4,2,2,3,3,7,1,4,7,1,3
"3",2018-09-11 10:57:49,"2_2_2",1,1,4,1,4,3,4,2,4,5,5,1,5,4,5,4,4,1,4,5,2,4,2,4,3,2,1,3,2,4,5,5,4,4,2,4,1,4,4,3,3,4,2,1,6,5,1,1,4,5,6,5,1,4,6,3,7
"4",2018-09-11 10:59:52,"2_2_1",4,3,5,1,2,2,3,3,5,5,3,5,5,3,4,4,4,3,2,2,2,4,3,5,2,3,3,5,2,2,3,4,5,4,3,4,1,4,3,2,4,1,2,4,2,1,6,1,1,1,4,5,2,3,7,2,6
"5",2018-09-11 12:54:37,"2_3_1",5,4,4,5,5,4,4,1,2,5,1,2,5,5,5,3,1,1,5,5,3,5,2,1,5,4,1,5,5,3,5,5,4,3,5,1,3,5,5,3,4,2,1,4,4,6,2,4,1,1,7,2,1,3,3,1,2
"6",2018-09-11 12:54:49,"2_4_1",4,3,5,3,4,4,4,1,2,3,3,1,5,4,5,4,2,2,5,5,3,5,3,3,4,3,1,5,1,5,3,5,5,3,4,4,1,4,4,4,3,3,2,4,2,2,3,4,3,2,4,5,2,6,7,4,5
"7",2018-09-11 12:54:58,"2_3_2",5,2,4,1,4,1,3,4,3,5,5,2,5,3,4,5,5,1,3,3,1,5,2,5,3,4,2,4,1,5,1,5,5,4,2,5,3,5,2,3,3,3,2,5,6,1,4,4,1,1,4,2,1,4,2,2,5
"8",2018-09-11 12:55:52,"2_4_2",3,1,4,3,4,4,5,2,3,5,4,1,5,4,4,3,5,3,4,4,3,4,2,3,4,3,3,5,3,5,3,5,4,3,2,3,1,5,4,4,4,4,4,4,2,1,2,3,1,3,3,3,1,4,7,5,4
"9",2018-09-11 14:55:01,"2_5_1",5,3,4,3,3,4,5,3,4,4,2,3,4,3,4,2,3,5,4,1,3,4,4,2,3,4,4,2,2,2,3,3,3,5,1,4,2,1,1,2,4,4,4,1,1,1,2,2,2,1,2,3,1,4,6,1,5
"10",2018-09-11 14:55:48,"2_5_2",4,2,3,2,5,2,4,2,4,5,4,3,4,3,4,2,2,3,2,5,4,5,2,2,4,3,2,2,3,5,4,4,4,4,1,3,2,4,1,5,2,2,4,3,2,1,3,4,2,3,5,4,1,4,7,2,4
"11",2018-09-11 14:57:15,"2_6_1",4,3,3,2,4,2,3,3,3,4,4,3,5,3,5,5,4,4,4,5,3,4,5,3,4,3,4,3,4,4,4,4,4,3,1,3,4,3,3,3,3,4,5,5,3,3,2,3,1,1,2,2,1,2,6,2,2
"12",2018-09-11 14:57:53,"2_7_2",3,2,4,5,3,1,3,4,1,5,3,2,4,4,3,2,5,3,5,5,4,5,5,1,2,2,3,5,3,4,4,3,4,2,5,2,1,3,5,5,1,3,4,3,3,5,2,2,2,3,3,3,1,4,7,4,4
"13",2018-09-11 14:58:35,"2_6_2",5,4,5,1,4,2,4,1,5,5,4,1,5,2,4,4,5,1,2,5,2,5,2,5,4,4,2,4,4,5,4,5,5,5,2,4,2,4,2,4,2,5,4,4,1,1,2,2,3,1,5,5,2,4,5,3,4
"14",2018-09-11 14:59:57,"2_7_1",5,2,4,3,4,1,3,4,3,5,4,3,4,2,5,4,5,4,3,5,2,5,5,4,4,3,3,3,4,5,2,5,4,4,5,5,2,2,3,5,1,5,5,5,3,1,4,4,2,7,2,1,1,4,7,1,2
"15",2018-09-14 09:48:49,"2_9_2",4,2,4,2,3,2,4,4,3,5,4,1,4,2,4,4,5,2,3,4,3,5,3,4,4,4,2,4,3,4,4,5,4,2,4,3,2,4,3,4,1,4,3,5,2,2,2,3,1,2,2,2,2,4,5,2,4
"16",2018-09-14 09:50:19,"2_9_1",2,1,3,4,4,4,4,3,4,4,3,3,4,4,5,5,5,5,2,5,5,4,3,5,5,4,4,4,3,5,5,5,3,5,2,3,3,3,4,5,5,3,5,5,1,1,5,6,3,4,6,1,1,4,4,1,4
"17",2018-09-14 09:53:25,"2_8_2",5,2,4,1,5,1,5,3,5,5,5,1,5,2,3,5,5,3,2,5,1,5,3,5,4,5,1,5,1,5,1,5,5,4,1,5,3,5,3,5,3,5,3,4,1,2,1,1,1,1,2,4,1,4,5,7,1
"18",2018-09-14 09:55:47,"2_8_1",3,3,2,1,4,4,5,4,4,4,3,3,5,2,5,4,4,1,5,4,4,2,4,2,3,3,2,4,3,4,4,4,4,4,3,4,1,4,5,4,4,3,5,1,3,1,2,3,3,5,6,1,1,5,3,2,5
"19",2018-09-14 11:53:06,"2_10_1",5,3,3,1,5,1,4,4,4,5,4,3,3,4,4,5,3,4,1,4,2,4,4,4,4,4,3,3,4,4,1,4,3,4,2,5,3,4,2,4,4,5,4,3,4,1,6,3,2,2,2,2,2,4,7,2,3
"20",2018-09-14 11:53:55,"2_10_2",4,4,4,2,5,3,5,3,5,5,4,3,5,2,5,5,4,1,4,5,3,4,2,2,5,4,2,3,2,5,4,5,4,3,4,4,1,5,1,5,5,4,3,5,2,2,2,1,4,2,2,2,1,2,6,2,2
"21",2018-09-14 13:47:49,"2_11_2",4,4,2,1,5,3,2,5,4,5,2,3,2,1,5,4,1,3,3,5,1,4,5,2,4,4,2,5,4,4,4,1,3,3,1,4,4,3,4,5,4,2,5,2,2,1,7,7,7,4,4,7,6,4,6,7,2
"22",2018-09-14 13:48:44,"2_11_1",5,5,5,3,5,1,5,1,4,5,5,3,5,3,5,5,5,1,2,5,2,4,1,4,5,4,1,3,2,5,3,5,4,5,2,5,3,4,3,5,5,5,2,5,5,4,4,3,6,6,5,6,4,1,5,3,5
"23",2018-09-14 15:42:36,"2_13_2",5,3,5,1,5,1,5,4,4,5,5,1,5,4,3,5,5,1,3,4,1,4,1,4,3,4,1,5,3,2,1,5,5,4,2,5,1,5,1,4,3,4,1,1,1,1,2,5,7,7,7,7,1,3,7,4,4
"24",2018-09-14 15:42:58,"2_13_1",4,3,4,2,3,4,4,5,3,5,4,1,5,5,3,3,5,4,5,5,4,5,5,3,3,3,4,4,4,5,5,4,2,2,5,3,3,4,5,5,2,4,4,2,4,2,5,4,5,1,7,1,1,4,7,1,7
"25",2018-09-14 15:52:39,"2_14_2",4,4,5,5,3,4,3,5,1,5,3,1,5,4,2,2,1,5,5,5,3,5,5,1,5,2,1,3,4,5,5,4,5,2,4,4,5,1,4,5,1,4,5,2,5,1,2,4,1,2,5,3,2,5,6,2,3
"26",2018-09-14 16:03:36,"2_14_1",5,2,5,1,5,2,5,4,4,5,5,1,5,4,4,5,5,1,3,5,2,5,2,4,3,4,1,4,5,5,4,5,4,5,1,5,1,4,4,4,4,5,2,4,1,1,7,1,1,2,2,2,1,4,4,3,1
"27",2018-09-18 10:52:23,"2_15_1",4,5,4,1,4,3,3,4,3,5,5,3,5,4,5,3,5,3,3,4,2,5,4,3,4,4,2,4,4,5,4,5,4,3,3,4,3,2,4,5,3,2,5,3,3,1,2,1,4,2,1,2,1,3,5,1,2
"28",2018-09-18 10:52:38,"2_15_2",2,4,2,3,5,4,4,3,3,5,3,2,3,3,4,3,4,5,4,5,5,4,4,4,4,3,3,2,3,3,4,5,4,3,2,3,2,2,5,5,3,2,5,4,3,3,2,2,1,2,2,3,3,3,6,3,3
"29",2018-09-18 11:43:36,"2_16_1",5,3,4,2,4,1,4,2,2,5,4,1,5,4,2,5,5,1,4,3,1,5,5,1,2,3,2,3,4,4,2,5,4,4,1,5,2,4,2,2,3,5,5,3,2,5,2,2,4,2,6,1,1,4,1,1,4
"30",2018-09-18 11:46:34,"2_17_2",4,2,4,1,4,2,5,2,4,4,4,2,5,2,4,4,5,1,1,5,2,5,2,5,4,3,1,4,2,4,2,5,4,4,4,4,2,4,2,4,3,4,1,3,2,1,1,1,1,2,4,4,2,4,6,2,4
"31",2018-09-18 11:46:48,"2_17_1",5,3,4,2,2,3,4,3,4,5,4,2,5,5,4,5,4,3,3,4,2,5,3,4,4,4,5,4,5,3,4,5,4,3,2,4,3,4,3,4,4,5,3,4,3,1,1,1,1,1,3,1,1,4,6,1,4
"32",2018-09-18 11:47:11,"2_16_2",5,2,4,3,5,2,4,2,1,4,4,2,5,3,5,4,4,5,5,5,1,4,4,1,4,3,2,4,5,5,4,5,4,2,4,5,4,4,4,4,3,5,5,2,6,2,4,2,4,1,3,2,1,4,2,1,3
"33",2018-09-18 14:55:30,"2_18_1",4,3,4,2,3,2,4,3,3,5,4,2,5,4,4,4,3,4,5,5,3,4,3,4,4,4,2,3,3,5,3,4,4,4,3,5,3,4,3,5,4,4,4,4,3,2,3,2,2,3,3,5,1,4,6,4,2
"34",2018-09-18 14:57:07,"2_18_2",4,2,3,2,3,4,4,4,3,4,3,1,4,3,3,3,3,4,3,3,3,4,4,4,3,3,2,3,4,3,4,5,3,4,3,4,1,4,4,4,3,4,5,4,4,1,4,4,5,4,5,5,2,4,5,4,5
"35",2018-09-18 15:51:12,"2_19_1",5,4,4,1,4,3,4,3,2,4,3,3,5,4,2,4,3,2,4,2,2,4,3,2,2,3,2,3,4,3,1,3,3,2,4,4,4,4,2,2,2,4,3,1,3,3,4,5,4,6,7,6,6,4,5,4,4
"36",2018-09-18 15:51:37,"2_19_2",2,2,3,2,2,3,4,2,4,4,4,1,5,3,4,2,5,2,3,2,4,5,2,5,2,3,2,4,1,1,4,4,4,4,4,3,1,3,2,2,1,3,3,3,1,1,3,2,4,3,3,3,1,3,6,3,1
"37",2018-09-18 15:51:58,"2_20_1",4,3,3,1,3,2,4,2,4,3,4,1,4,4,3,4,5,4,2,3,2,4,3,5,3,3,1,3,1,3,4,5,3,5,2,4,2,4,2,4,2,3,4,4,3,5,4,4,3,4,3,2,2,5,6,2,4
"38",2018-09-18 15:52:51,"2_20_2",2,2,4,3,5,5,4,3,1,5,2,2,4,3,4,3,2,5,2,5,4,5,4,2,2,2,5,2,4,5,4,3,2,4,5,1,4,4,5,5,1,4,5,4,2,1,3,2,1,7,3,1,1,4,6,2,3
"39",2018-09-21 11:47:56,"2_21_1",5,2,5,2,5,3,4,2,4,5,3,1,5,2,4,4,5,4,2,5,2,4,3,5,5,3,1,5,1,5,4,5,4,5,2,4,1,2,2,4,1,5,4,5,5,1,3,2,5,1,3,3,1,4,7,1,5
"40",2018-09-21 11:52:26,"2_21_2",3,1,5,3,4,4,5,4,4,5,2,1,4,2,4,4,5,2,4,5,5,5,3,1,5,3,3,3,3,5,4,5,2,5,4,3,3,3,4,5,2,4,4,4,1,1,2,3,2,1,1,2,1,3,4,2,3
"41",2018-09-21 15:00:09,"2_22_1",4,3,4,3,5,2,3,2,3,5,2,3,5,2,5,3,3,1,5,5,3,4,3,4,5,5,3,3,5,5,5,5,5,2,1,4,4,5,4,5,4,3,4,5,1,1,6,6,2,3,7,7,2,2,1,2,1
"42",2018-09-21 15:00:09,"2_22_2",5,2,4,1,5,2,5,1,4,5,5,1,3,1,4,5,4,2,3,5,2,4,2,4,5,2,1,4,2,3,2,5,5,4,1,5,1,4,2,5,1,3,2,4,5,4,1,1,1,2,6,6,1,4,7,6,6
"43",2018-09-22 12:06:31,"2_23_2",4,2,4,1,4,1,4,2,3,4,4,2,5,3,4,4,5,3,3,5,3,5,3,4,5,3,1,4,3,5,4,5,3,4,2,4,2,4,3,5,4,5,4,4,2,1,2,4,2,3,4,2,1,4,1,1,4
"44",2018-09-22 12:07:01,"2_23_1",3,1,4,2,4,2,5,3,3,5,3,1,5,2,4,4,5,4,4,4,3,5,2,2,4,3,2,5,4,5,4,4,4,3,3,4,1,4,3,4,5,5,2,2,3,1,2,2,1,2,2,2,1,4,1,1,5
"45",2018-09-22 15:42:26,"2_24_1",4,3,4,4,4,4,3,2,2,4,2,2,5,3,5,3,2,3,5,4,3,3,2,4,3,3,3,3,4,5,3,4,3,2,2,2,2,4,5,5,3,3,3,5,3,3,6,5,6,3,5,7,4,4,7,4,4
"46",2018-09-22 15:43:09,"2_24_2",2,2,4,3,3,4,5,1,3,4,3,1,4,2,4,4,4,4,4,3,5,2,1,3,3,1,3,3,3,5,5,5,5,4,4,2,1,5,4,3,4,3,1,4,2,1,2,3,1,5,3,3,1,4,5,1,3
"47",2018-09-25 13:45:28,"2_25_1",2,4,4,4,4,5,5,4,4,5,3,1,5,5,4,3,5,4,4,5,4,4,3,4,4,2,4,4,3,4,5,5,4,4,4,2,2,3,4,5,2,2,4,4,2,4,2,1,2,2,4,6,4,5,7,4,2
"48",2018-09-25 13:45:57,"2_25_2",2,3,5,2,4,4,4,2,4,5,5,3,4,3,3,5,4,1,2,4,3,3,3,5,3,3,4,5,3,3,1,4,4,5,4,4,2,4,2,4,3,3,3,5,3,3,3,2,1,1,2,3,4,2,5,3,3
"49",2018-09-27 09:49:14,"2_12_2",4,3,5,2,4,4,5,2,4,4,4,3,4,2,4,3,4,2,3,4,4,4,3,4,3,3,2,4,4,4,2,4,4,4,4,4,2,4,2,5,3,4,2,3,3,2,2,2,3,2,2,2,1,4,7,2,3
"50",2018-09-27 09:52:46,"2_12_1",4,2,4,1,4,2,5,2,4,3,4,3,5,2,4,4,5,1,2,2,4,5,2,4,2,3,2,5,2,3,5,5,4,4,4,4,2,5,4,4,2,4,2,1,1,1,3,5,4,2,3,2,2,5,3,3,4
"51",2018-09-27 10:49:03,"2_26_1",5,5,4,4,4,4,3,2,2,4,1,4,4,5,5,2,4,2,5,5,4,1,4,1,4,4,4,3,5,5,3,2,4,2,3,2,5,4,5,4,2,2,4,4,3,2,3,2,2,1,2,2,1,4,7,1,2
"52",2018-09-27 10:52:36,"2_26_2",3,3,4,1,2,2,4,2,3,5,4,2,5,3,4,3,4,1,3,3,4,4,1,4,3,2,2,4,2,4,5,5,5,4,5,3,1,5,3,5,4,4,1,4,4,2,3,6,3,2,5,3,1,4,2,1,6
"53",2018-09-28 09:51:16,"2_27_1",5,2,4,1,3,1,4,1,5,5,4,2,4,1,3,5,5,2,1,3,2,4,2,4,4,3,1,4,1,2,1,5,5,5,4,5,2,4,1,4,2,4,2,2,3,1,2,2,3,2,3,3,2,4,6,2,3
"54",2018-09-28 09:53:17,"2_27_2",4,4,3,3,3,4,2,2,3,5,3,2,4,3,5,2,3,4,4,5,2,2,3,5,3,4,2,3,3,4,3,3,4,4,4,3,3,4,2,5,3,3,3,3,5,2,2,2,1,1,2,2,1,4,6,3,2
"55",2018-09-28 12:08:01,"2_28_2",4,1,4,4,2,4,4,2,3,5,2,1,4,4,4,2,5,5,4,3,4,5,4,3,4,2,2,3,4,5,4,5,3,4,3,2,1,2,4,5,4,4,4,4,1,2,3,3,1,1,2,2,1,4,7,4,4
"56",2018-09-28 12:08:46,"2_28_1",4,1,4,2,5,2,5,1,2,5,3,4,5,2,4,5,5,4,2,4,3,5,4,5,3,3,2,5,3,5,4,5,5,5,3,3,1,4,4,5,4,4,4,5,2,1,2,2,3,2,5,3,1,4,6,6,6
"57",2018-09-28 14:55:23,"2_29_2",3,1,4,1,4,4,5,3,5,5,5,4,5,4,4,3,5,1,2,5,4,5,2,5,4,3,3,4,3,4,4,5,5,4,5,2,1,5,2,4,3,4,3,3,1,1,2,1,3,5,6,4,1,4,7,5,1
"58",2018-09-28 14:56:16,"2_29_1",3,1,2,3,3,2,5,2,3,5,3,1,4,3,5,3,4,4,4,4,3,4,5,3,2,2,1,3,4,4,5,5,4,2,2,4,1,3,4,5,3,4,3,4,2,2,4,4,3,2,6,3,1,4,6,3,5
"59",2018-10-03 15:54:41,"2_30_1",5,2,4,5,4,2,4,5,3,5,4,2,4,4,4,4,4,5,5,4,3,4,3,3,4,5,2,4,5,5,4,4,5,4,4,5,4,4,4,5,1,5,5,4,6,2,1,1,1,2,3,1,1,4,6,3,6
"60",2018-10-03 15:57:40,"2_30_2",4,2,4,1,3,1,4,1,3,4,3,1,5,3,4,4,4,1,4,4,3,5,3,4,3,4,1,4,3,2,2,5,3,3,3,3,1,2,1,3,2,5,3,3,2,2,2,2,5,2,3,2,1,4,6,2,3
"61",2018-10-10 09:55:53,"2_31_1",3,2,4,3,4,2,3,3,3,4,3,1,4,4,3,4,2,3,3,5,1,4,3,2,3,4,3,3,4,4,1,3,3,3,2,4,3,2,2,4,2,5,3,3,2,2,3,3,4,6,4,4,4,2,5,4,3
"62",2018-10-10 10:01:00,"2_31_2",4,1,4,2,5,3,5,3,4,5,5,2,5,3,4,4,5,4,2,3,4,5,3,4,5,5,1,2,1,5,3,5,5,5,4,3,2,4,1,4,5,4,4,4,1,1,2,2,5,3,4,2,1,3,4,1,1
"63",2018-10-10 15:42:25,"2_32_2",3,4,3,1,3,2,3,2,4,5,4,3,4,4,2,4,4,3,3,3,4,4,3,4,3,3,4,4,3,4,4,5,3,4,3,4,2,3,4,4,3,4,2,3,2,4,5,3,2,5,6,3,6,4,4,3,4
"64",2018-10-10 15:44:19,"2_32_1",5,4,4,1,3,2,4,3,5,4,4,1,4,2,2,4,5,1,4,5,2,4,2,4,2,3,2,4,4,5,4,4,5,4,4,5,2,4,2,4,3,4,2,2,2,2,3,3,2,2,3,3,3,4,7,3,4
"65",2018-10-23 09:54:22,"2_34_2",2,1,5,5,1,5,4,2,2,3,2,1,5,5,3,1,5,2,5,2,5,5,2,3,2,3,4,5,5,2,5,3,5,3,2,1,2,2,5,2,4,5,3,1,3,1,3,4,3,1,4,4,1,4,7,1,5
"66",2018-10-23 09:56:14,"2_34_1",4,3,3,2,4,2,4,1,4,4,4,4,4,2,3,4,4,3,3,4,1,4,3,4,4,3,2,4,4,3,2,5,4,4,5,5,2,4,2,4,3,4,4,3,2,5,2,1,2,1,1,3,3,2,7,3,3
"67",2018-10-23 09:56:44,"2_35_2",4,4,4,5,3,2,3,4,1,4,2,3,4,5,2,1,3,2,5,4,3,4,5,1,2,3,4,3,5,1,4,3,4,2,5,2,4,4,5,4,4,3,5,3,4,2,1,1,3,5,7,4,2,5,5,3,5
"68",2018-10-23 09:57:47,"2_35_1",4,2,3,4,3,3,4,2,2,4,2,1,4,3,3,2,3,3,4,4,4,2,3,2,3,2,2,3,3,3,4,4,3,2,3,3,1,3,4,3,3,4,4,2,3,2,2,3,2,3,4,3,1,4,5,2,5
"69",2018-10-23 10:03:27,"2_33_2",5,3,4,1,4,1,4,3,4,5,4,1,4,3,3,5,3,2,2,4,1,4,1,4,3,3,1,5,1,2,1,5,4,3,2,5,2,4,2,5,1,5,3,2,2,2,5,3,3,4,2,2,6,2,5,3,3
"70",2018-10-23 10:05:01,"2_33_1",5,3,4,2,5,4,5,3,4,5,5,1,4,1,5,5,5,1,1,4,2,5,3,5,5,5,1,2,1,4,1,5,4,5,3,5,1,4,1,5,3,4,4,5,2,2,4,3,3,3,4,2,1,4,1,1,2
"71",2018-10-23 10:53:39,"2_36_2",5,3,2,1,4,1,5,1,2,3,3,1,4,4,5,5,3,1,3,2,1,4,2,3,3,3,2,3,5,3,3,5,4,4,4,5,1,4,4,3,5,5,2,1,3,1,4,4,3,2,5,6,1,4,2,1,4
"72",2018-10-23 10:53:53,"2_36_1",3,4,4,3,3,5,2,1,3,4,2,2,4,4,5,4,1,2,5,4,4,3,2,2,3,3,3,4,4,5,4,3,4,2,4,3,2,4,4,3,1,3,4,4,6,5,2,2,1,1,4,5,7,5,1,1,5
"73",2018-10-23 11:50:38,"2_38_1",3,1,3,1,4,4,4,1,4,4,4,3,5,2,4,3,4,1,4,2,4,5,2,4,2,5,1,4,4,2,3,5,4,4,3,4,1,4,2,4,4,4,1,4,4,3,2,3,3,5,6,5,3,4,7,3,5
"74",2018-10-23 11:50:39,"2_38_2",2,2,4,1,3,4,5,1,2,4,4,3,4,4,4,4,5,1,2,4,5,5,2,2,2,2,3,3,4,5,5,5,4,4,4,3,1,4,2,2,4,2,3,2,2,2,2,3,1,4,3,5,3,4,7,6,3
"75",2018-10-23 11:51:42,"2_37_2",3,2,3,4,4,4,4,4,2,3,2,2,4,4,4,3,4,3,4,5,4,4,4,4,3,3,2,3,3,4,4,4,3,2,3,3,2,2,3,4,3,4,3,3,6,3,3,3,2,4,3,3,3,4,4,5,2
"76",2018-10-23 11:53:09,"2_39_1",4,4,4,2,4,3,3,5,4,4,3,3,4,4,3,4,4,3,4,4,2,4,3,2,4,3,4,4,4,4,2,3,5,3,4,4,5,3,4,4,4,3,3,4,2,2,5,3,4,2,2,3,3,2,6,4,2
"77",2018-10-23 11:53:56,"2_39_2",5,3,4,4,5,2,5,4,3,4,4,3,5,4,4,5,4,4,5,4,2,2,4,3,5,5,1,3,5,5,5,4,4,4,1,5,4,5,5,5,5,5,5,4,2,2,1,1,2,2,3,2,1,2,2,2,6
"78",2018-10-23 11:56:48,"2_37_1",2,2,3,3,4,3,2,4,4,4,3,3,3,3,4,3,3,4,2,3,3,2,2,2,3,3,2,3,1,2,3,3,2,3,4,3,1,2,2,3,3,2,2,2,4,6,4,4,4,4,4,5,6,4,4,4,5
"79",2018-10-23 13:41:07,"2_40_2",4,4,2,2,4,2,4,2,4,4,2,1,4,2,2,4,4,5,4,4,2,4,2,2,2,2,1,2,4,4,5,5,4,2,1,4,2,1,5,4,4,5,5,2,5,6,3,3,2,2,6,2,2,5,7,3,6
"80",2018-10-23 13:44:29,"2_40_1",5,3,3,2,3,1,4,2,2,4,4,2,5,4,3,4,4,1,2,3,2,3,1,3,3,3,2,4,4,2,1,4,4,3,4,5,4,4,3,3,3,4,3,3,2,2,4,4,2,3,7,6,3,4,7,5,4
"81",2018-10-24 11:40:48,"2_41_2",2,4,5,2,5,4,4,4,3,5,3,2,5,4,5,2,4,4,4,5,3,2,4,2,5,4,4,5,5,5,5,3,5,5,4,2,4,3,4,5,5,1,3,5,1,1,2,1,1,1,1,7,2,1,6,5,2
"82",2018-10-24 11:41:15,"2_41_1",4,3,5,2,3,2,4,4,2,5,3,2,4,5,4,4,2,2,4,3,2,4,2,3,3,3,2,5,4,4,3,5,4,3,2,4,2,5,5,4,2,4,2,3,5,4,3,2,4,4,6,4,4,5,6,4,5
"83",2018-10-24 12:03:09,"2_42_1",4,3,4,2,4,2,5,4,4,5,4,1,2,3,4,5,3,2,4,5,3,3,5,5,5,4,1,2,3,4,3,5,4,4,2,4,2,4,3,4,2,3,4,3,4,1,5,3,3,2,2,1,1,4,2,1,2
"84",2018-10-24 12:03:14,"2_42_2",4,3,4,2,4,4,4,3,4,5,5,3,4,5,4,4,3,3,3,4,1,5,1,3,3,3,2,3,3,3,1,4,4,4,1,4,4,5,3,5,4,4,4,4,5,1,2,2,1,1,2,2,3,4,4,2,2
"85",2018-10-26 12:39:06,"2_43_2",5,3,5,1,4,2,5,2,1,4,3,3,5,5,3,4,3,4,5,3,3,5,3,4,4,4,1,3,5,3,3,5,4,2,4,4,3,2,5,3,3,5,4,3,1,1,1,1,2,2,4,1,1,4,7,2,1
"86",2018-10-26 12:39:26,"2_43_1",5,3,4,1,4,2,4,3,4,5,3,3,5,4,5,4,5,3,4,5,2,5,3,2,3,3,1,4,3,5,1,4,2,4,4,5,2,1,3,5,1,4,5,4,3,2,4,1,3,2,5,3,1,2,2,3,6
"87",2018-10-26 14:45:54,"2_44_1",2,3,4,3,3,4,4,2,2,5,3,2,4,3,3,2,3,2,3,5,4,4,4,2,3,3,4,4,4,5,3,4,4,3,3,2,2,3,4,4,1,1,4,5,3,4,3,5,7,6,6,1,1,5,2,3,6
"88",2018-10-26 14:47:26,"2_44_2",5,3,4,1,3,2,4,3,2,5,4,1,5,4,2,4,4,2,3,4,2,3,3,4,4,4,2,4,3,4,3,4,2,3,4,5,2,5,4,2,5,3,4,4,2,2,5,3,1,1,2,4,1,4,6,5,2
"89",2018-10-26 15:46:19,"2_45_1",4,2,4,1,3,2,4,2,5,3,4,2,4,2,4,4,5,1,3,3,3,4,1,5,3,3,2,5,1,1,2,5,4,4,3,4,1,3,2,4,5,3,4,2,1,1,2,2,2,2,3,4,1,3,6,2,3
"90",2018-10-26 15:47:05,"2_45_2",4,2,4,3,3,4,4,3,3,4,4,2,5,5,4,4,4,1,5,4,3,4,4,1,3,3,4,2,4,3,4,5,4,4,1,4,3,4,4,4,2,4,3,1,2,2,1,4,3,4,7,3,1,5,7,5,6
